Tamaño de municipio y capital de residencia;Sexo;Edad;Total
Total;Ambos sexos;Todas las edades;3.679
Total;Ambos sexos;Menores de 15 años;13
Total;Ambos sexos;De 15 a 29 años;273
Total;Ambos sexos;De 30 a 39 años;452
Total;Ambos sexos;De 40 a 44 años;344
Total;Ambos sexos;De 45 a 49 años;367
Total;Ambos sexos;De 50 a 54 años;421
Total;Ambos sexos;De 55 a 59 años;362
Total;Ambos sexos;De 60 a 64 años;251
Total;Ambos sexos;De 65 a 69 años;230
Total;Ambos sexos;De 70 a 74 años;245
Total;Ambos sexos;De 75 a 79 años;204
Total;Ambos sexos;De 80 a 84 años;259
Total;Ambos sexos;De 85 a 89 años;180
Total;Ambos sexos;De 90 a 94 años;64
Total;Ambos sexos;De 95 años y más;14
Total;Hombres;Todas las edades;2.718
Total;Hombres;Menores de 15 años;6
Total;Hombres;De 15 a 29 años;204
Total;Hombres;De 30 a 39 años;354
Total;Hombres;De 40 a 44 años;246
Total;Hombres;De 45 a 49 años;291
Total;Hombres;De 50 a 54 años;305
Total;Hombres;De 55 a 59 años;254
Total;Hombres;De 60 a 64 años;170
Total;Hombres;De 65 a 69 años;162
Total;Hombres;De 70 a 74 años;166
Total;Hombres;De 75 a 79 años;145
Total;Hombres;De 80 a 84 años;204
Total;Hombres;De 85 a 89 años;143
Total;Hombres;De 90 a 94 años;56
Total;Hombres;De 95 años y más;12
Total;Mujeres;Todas las edades;961
Total;Mujeres;Menores de 15 años;7
Total;Mujeres;De 15 a 29 años;69
Total;Mujeres;De 30 a 39 años;98
Total;Mujeres;De 40 a 44 años;98
Total;Mujeres;De 45 a 49 años;76
Total;Mujeres;De 50 a 54 años;116
Total;Mujeres;De 55 a 59 años;108
Total;Mujeres;De 60 a 64 años;81
Total;Mujeres;De 65 a 69 años;68
Total;Mujeres;De 70 a 74 años;79
Total;Mujeres;De 75 a 79 años;59
Total;Mujeres;De 80 a 84 años;55
Total;Mujeres;De 85 a 89 años;37
Total;Mujeres;De 90 a 94 años;8
Total;Mujeres;De 95 años y más;2
Municipio menor o igual a 10.000 habitantes;Ambos sexos;Todas las edades;910
Municipio menor o igual a 10.000 habitantes;Ambos sexos;Menores de 15 años;2
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 15 a 29 años;58
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 30 a 39 años;84
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 40 a 44 años;60
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 45 a 49 años;80
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 50 a 54 años;107
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 55 a 59 años;95
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 60 a 64 años;73
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 65 a 69 años;56
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 70 a 74 años;68
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 75 a 79 años;57
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 80 a 84 años;89
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 85 a 89 años;53
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 90 a 94 años;23
Municipio menor o igual a 10.000 habitantes;Ambos sexos;De 95 años y más;5
Municipio menor o igual a 10.000 habitantes;Hombres;Todas las edades;723
Municipio menor o igual a 10.000 habitantes;Hombres;Menores de 15 años;1
Municipio menor o igual a 10.000 habitantes;Hombres;De 15 a 29 años;50
Municipio menor o igual a 10.000 habitantes;Hombres;De 30 a 39 años;68
Municipio menor o igual a 10.000 habitantes;Hombres;De 40 a 44 años;40
Municipio menor o igual a 10.000 habitantes;Hombres;De 45 a 49 años;71
Municipio menor o igual a 10.000 habitantes;Hombres;De 50 a 54 años;83
Municipio menor o igual a 10.000 habitantes;Hombres;De 55 a 59 años;76
Municipio menor o igual a 10.000 habitantes;Hombres;De 60 a 64 años;54
Municipio menor o igual a 10.000 habitantes;Hombres;De 65 a 69 años;46
Municipio menor o igual a 10.000 habitantes;Hombres;De 70 a 74 años;50
Municipio menor o igual a 10.000 habitantes;Hombres;De 75 a 79 años;44
Municipio menor o igual a 10.000 habitantes;Hombres;De 80 a 84 años;73
Municipio menor o igual a 10.000 habitantes;Hombres;De 85 a 89 años;41
Municipio menor o igual a 10.000 habitantes;Hombres;De 90 a 94 años;22
Municipio menor o igual a 10.000 habitantes;Hombres;De 95 años y más;4
Municipio menor o igual a 10.000 habitantes;Mujeres;Todas las edades;187
Municipio menor o igual a 10.000 habitantes;Mujeres;Menores de 15 años;1
Municipio menor o igual a 10.000 habitantes;Mujeres;De 15 a 29 años;8
Municipio menor o igual a 10.000 habitantes;Mujeres;De 30 a 39 años;16
Municipio menor o igual a 10.000 habitantes;Mujeres;De 40 a 44 años;20
Municipio menor o igual a 10.000 habitantes;Mujeres;De 45 a 49 años;9
Municipio menor o igual a 10.000 habitantes;Mujeres;De 50 a 54 años;24
Municipio menor o igual a 10.000 habitantes;Mujeres;De 55 a 59 años;19
Municipio menor o igual a 10.000 habitantes;Mujeres;De 60 a 64 años;19
Municipio menor o igual a 10.000 habitantes;Mujeres;De 65 a 69 años;10
Municipio menor o igual a 10.000 habitantes;Mujeres;De 70 a 74 años;18
Municipio menor o igual a 10.000 habitantes;Mujeres;De 75 a 79 años;13
Municipio menor o igual a 10.000 habitantes;Mujeres;De 80 a 84 años;16
Municipio menor o igual a 10.000 habitantes;Mujeres;De 85 a 89 años;12
Municipio menor o igual a 10.000 habitantes;Mujeres;De 90 a 94 años;1
Municipio menor o igual a 10.000 habitantes;Mujeres;De 95 años y más;1
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;Todas las edades;392
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;Menores de 15 años;0
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;De 15 a 29 años;32
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;De 30 a 39 años;51
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;De 40 a 44 años;40
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;De 45 a 49 años;43
Municipio de 10.001 a  20.000 habitantes;Ambos sexos;De 50 a 54 años;43
